level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1075	1521	-1	
2	1	1	0	0	0	37	14	1000	1487	-1	
3	1	1	1	0	0	37	14	1000	1478	-1	
4	1	1	1	1	0	37	14	1000	36	-1	
5	1	1	1	1	1	37	30	59	10	18.861094	Kuang:
5	1	1	1	1	2	112	30	49	10	0.000000	aeted
5	1	1	1	1	3	482	14	29	36	25.480427	pest
5	1	1	1	1	4	523	14	46	36	0.000000	roret
5	1	1	1	1	5	580	30	12	10	8.548937	es
5	1	1	1	1	6	913	30	124	10	0.849571	人
4	1	1	1	2	0	289	168	6	19	-1	
5	1	1	1	2	1	289	168	6	19	54.545971	if
4	1	1	1	3	0	111	165	577	64	-1	
5	1	1	1	3	1	111	190	27	13	58.565300	oo
5	1	1	1	3	2	160	165	49	64	33.432335	ate
5	1	1	1	3	3	224	189	34	18	34.587246	#00)
5	1	1	1	3	4	272	195	6	5	35.669601	=
5	1	1	1	3	5	293	169	67	35	37.500412	OE
5	1	1	1	3	6	400	177	43	30	16.760187	yar
5	1	1	1	3	7	453	189	38	19	0.000000	cH¢
5	1	1	1	3	8	512	189	4	20	0.000000	y
5	1	1	1	3	9	684	201	4	4	18.271532	.
4	1	1	1	4	0	290	207	312	23	-1	
5	1	1	1	4	1	290	210	25	20	38.928684	(2x
5	1	1	1	4	2	322	210	38	16	38.928684	-1,x
5	1	1	1	4	3	368	210	20	14	95.249977	<1
5	1	1	1	4	4	556	203	22	31	0.000000	OX!
5	1	1	1	4	5	583	215	19	10	0.000000	x9
4	1	1	1	5	0	109	246	91	15	-1	
5	1	1	1	5	1	109	246	51	15	92.487236	【答案
5	1	1	1	5	2	171	247	29	14	87.038498	】，4
4	1	1	1	6	0	109	288	598	34	-1	
5	1	1	1	6	1	109	300	25	15	48.736031	[名
5	1	1	1	6	2	141	300	19	15	5.015373	让
5	1	1	1	6	3	175	307	1	7	5.015373	，
5	1	1	1	6	4	192	288	23	23	17.377110	吕
5	1	1	1	6	5	248	298	149	23	4.182024	-ff(OOJf(
5	1	1	1	6	6	429	301	278	21	11.423149	=f(fO)f(O=f()TO
4	1	1	1	7	0	193	315	227	22	-1	
5	1	1	1	7	1	193	318	20	15	86.037437	dx
5	1	1	1	7	2	220	328	20	9	35.171791	es
5	1	1	1	7	3	396	315	24	10	28.361969	x
4	1	1	1	8	0	104	368	492	53	-1	
5	1	1	1	8	1	104	385	12	15	91.066353	由
5	1	1	1	8	2	128	385	141	18	62.784206	f(x)
5	1	1	1	8	3	176	374	17	36	96.920952	的
5	1	1	1	8	4	192	374	34	36	93.126732	表达
5	1	1	1	8	5	226	374	18	36	90.432297	式
5	1	1	1	8	6	244	374	18	36	92.735710	可
5	1	1	1	8	7	262	374	16	36	89.698952	知
5	1	1	1	8	8	291	384	5	15	32.030701	f
5	1	1	1	8	9	305	384	151	22	22.038158	'(O)=F(-1)=2,
5	1	1	1	8	10	471	385	30	15	41.868267	wn
5	1	1	1	8	11	513	368	25	53	4.293833	4
5	1	1	1	8	12	570	385	26	15	91.678009	=4
4	1	1	1	9	0	514	403	46	18	-1	
5	1	1	1	9	1	514	403	46	18	4.502792	dxj.s
4	1	1	1	10	0	309	452	236	20	-1	
5	1	1	1	10	1	309	465	28	6	52.459412	wer
5	1	1	1	10	2	354	467	2	3	42.596397	pp
5	1	1	1	10	3	385	452	34	20	40.411152	f(x,
5	1	1	1	10	4	426	452	56	20	39.769264	y)-2x
5	1	1	1	10	5	492	454	22	18	67.306602	ty
5	1	1	1	10	6	522	453	23	15	22.051586	-2
4	1	1	1	11	0	111	461	585	27	-1	
5	1	1	1	11	1	111	466	34	13	53.944923	(11)
5	1	1	1	11	2	169	465	31	15	38.390038	Pe
5	1	1	1	11	3	209	469	9	11	61.816982	Z
5	1	1	1	11	4	226	472	10	5	61.816982	=
5	1	1	1	11	5	244	466	6	14	54.069477	F
5	1	1	1	11	6	256	466	43	18	81.108856	(x,
5	1	1	1	11	7	287	457	16	35	90.350357	y)
5	1	1	1	11	8	307	469	32	11	96.591553	满足
5	1	1	1	11	9	349	467	24	15	79.419075	im
5	1	1	1	11	10	381	467	207	15	22.954277	<A
5	1	1	1	11	11	553	457	12	35	22.767048	=
5	1	1	1	11	12	567	457	22	35	22.767048	0,
5	1	1	1	11	13	601	465	14	15	48.478561	WW
5	1	1	1	11	14	624	461	23	27	39.485989	dz}
5	1	1	1	11	15	655	475	20	11	22.725086	on)
5	1	1	1	11	16	686	472	10	5	94.909637	=
4	1	1	1	12	0	350	482	167	27	-1	
5	1	1	1	12	1	350	485	24	23	56.155792	号
5	1	1	1	12	2	406	482	111	27	0.000000	WO-
4	1	1	1	13	0	109	541	152	18	-1	
5	1	1	1	13	1	109	541	51	15	88.296188	【答案
5	1	1	1	13	2	159	530	10	35	56.308098	]
5	1	1	1	13	3	177	541	45	14	79.934700	，2dx
5	1	1	1	13	4	231	541	30	18	86.742958	-dy
4	1	1	1	14	0	109	592	782	29	-1	
5	1	1	1	14	1	109	601	51	15	88.074333	【解析
5	1	1	1	14	2	171	608	2	7	85.096649	】，
5	1	1	1	14	3	190	601	12	15	81.401138	由
5	1	1	1	14	4	209	601	11	15	91.408096	题
5	1	1	1	14	5	229	601	8	14	93.125679	意
5	1	1	1	14	6	243	602	11	14	93.284851	可
5	1	1	1	14	7	261	601	19	15	92.594093	知
5	1	1	1	14	8	280	601	8	15	93.270576	分
5	1	1	1	14	9	297	601	16	15	92.894524	子
5	1	1	1	14	10	314	601	18	15	90.786171	应
5	1	1	1	14	11	340	601	7	14	96.639557	为
5	1	1	1	14	12	348	601	17	15	96.927048	分
5	1	1	1	14	13	365	601	7	15	0.000000	三
5	1	1	1	14	14	380	601	20	15	93.295563	的
5	1	1	1	14	15	402	608	3	8	96.601257	高
5	1	1	1	14	16	414	601	18	15	91.831512	阶
5	1	1	1	14	17	436	601	16	15	0.000000	无
5	1	1	1	14	18	458	601	13	15	66.966675	穷
5	1	1	1	14	19	476	610	3	5	88.866135	小
5	1	1	1	14	20	482	588	6	39	21.482605	,
5	1	1	1	14	21	502	601	4	13	29.313560	即
5	1	1	1	14	22	555	600	56	19	0.000000	fx,y)
5	1	1	1	14	23	620	592	170	29	87.122505	=2x-y
5	1	1	1	14	24	699	588	21	39	26.081343	+2
5	1	1	1	14	25	729	592	61	29	0.000000	+0(Yx”
5	1	1	1	14	26	798	592	93	27	0.000000	HT),
4	1	1	1	15	0	102	659	452	31	-1	
5	1	1	1	15	1	102	667	31	15	95.866188	所
5	1	1	1	15	2	127	655	18	39	90.220627	以
5	1	1	1	15	3	145	659	52	31	68.292015	Flas
5	1	1	1	15	4	209	668	33	14	89.504402	=2，
5	1	1	1	15	5	271	659	17	31	70.471611	空
5	1	1	1	15	6	292	677	22	11	74.013618	|oy
5	1	1	1	15	7	326	668	44	14	74.299431	=-1,
5	1	1	1	15	8	383	667	15	15	39.255009	#%
5	1	1	1	15	9	406	667	20	14	16.319256	de|
5	1	1	1	15	10	435	676	22	11	48.935814	os
5	1	1	1	15	11	468	667	45	14	92.361221	=2dx
5	1	1	1	15	12	522	667	32	18	96.194321	-dy
4	1	1	1	16	0	147	688	133	15	-1	
5	1	1	1	16	1	147	688	17	11	40.398869	x
5	1	1	1	16	2	264	689	16	14	53.868973	8
4	1	1	1	17	0	273	728	10	13	-1	
5	1	1	1	17	1	273	728	10	13	91.725227	4
4	1	1	1	18	0	111	739	615	20	-1	
5	1	1	1	18	1	111	740	36	13	26.066566	(12)
5	1	1	1	18	2	180	739	47	15	46.498444	hh
5	1	1	1	18	3	240	745	9	14	88.839638	y
5	1	1	1	18	4	258	746	10	5	96.885559	=
5	1	1	1	18	5	273	747	10	2	85.404060	二
5	1	1	1	18	6	295	742	10	14	94.681259	和
5	1	1	1	18	7	309	741	30	15	93.016487	直线
5	1	1	1	18	8	353	745	9	14	92.343071	y
5	1	1	1	18	9	371	742	45	14	69.651093	=x
5	1	1	1	18	10	404	730	16	35	21.769190	及
5	1	1	1	18	11	424	745	9	14	76.018753	y
5	1	1	1	18	12	442	746	9	5	94.736786	=
5	1	1	1	18	13	459	741	19	14	91.621567	4X
5	1	1	1	18	14	485	741	23	15	88.914154	在
5	1	1	1	18	15	507	730	18	35	96.946335	第
5	1	1	1	18	16	529	741	14	16	94.585670	一
5	1	1	1	18	17	551	742	19	15	96.850922	象限
5	1	1	1	18	18	573	741	14	15	96.677414	中
5	1	1	1	18	19	588	741	15	16	92.681870	所
5	1	1	1	18	20	607	741	14	15	6.647930	周
5	1	1	1	18	21	625	741	14	15	93.061234	图
5	1	1	1	18	22	640	741	19	15	91.995522	形
5	1	1	1	18	23	661	741	15	15	96.572243	的
5	1	1	1	18	24	685	741	7	16	65.548210	而
5	1	1	1	18	25	697	742	3	14	76.298103	积
5	1	1	1	18	26	708	741	14	15	92.980141	为
5	1	1	1	18	27	722	743	4	11	91.882668	?
4	1	1	1	19	0	274	762	9	10	-1	
