level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1075	1521	-1	
2	1	1	0	0	0	37	30	1000	1462	-1	
3	1	1	1	0	0	37	30	1000	1462	-1	
4	1	1	1	1	0	37	30	1000	10	-1	
5	1	1	1	1	1	37	30	66	10	7.393780	Kaas
5	1	1	1	1	2	112	30	49	10	0.000000	eked
5	1	1	1	1	3	482	30	110	10	0.000000	sanboseata
5	1	1	1	1	4	913	30	59	10	0.000000	Taang:
5	1	1	1	1	5	987	30	50	10	0.000000	aeked
4	1	1	1	2	0	120	64	115	17	-1	
5	1	1	1	2	1	120	65	15	16	33.269314	人
5	1	1	1	2	2	147	64	70	15	81.265480	求
5	1	1	1	2	3	173	55	16	34	92.966995	a
5	1	1	1	2	4	188	64	24	15	92.777473	的
5	1	1	1	2	5	211	55	18	34	90.677277	值
5	1	1	1	2	6	232	72	3	7	48.500107	;
4	1	1	1	3	0	120	101	369	24	-1	
5	1	1	1	3	1	120	107	19	16	73.613228	()
5	1	1	1	3	2	157	101	47	24	39.620445	6B,
5	1	1	1	3	3	225	101	23	23	33.346756	By,
5	1	1	1	3	4	271	101	67	24	0.000000	Borja,
5	1	1	1	3	5	355	109	28	15	1.976433	a,
5	1	1	1	3	6	401	109	19	16	0.000000	a,
5	1	1	1	3	7	424	108	65	17	0.000000	aetbaen
4	1	1	1	4	0	88	148	249	16	-1	
5	1	1	1	4	1	88	148	51	15	91.208275	【详解
5	1	1	1	4	2	139	139	11	34	91.745743	】
5	1	1	1	4	3	149	148	14	16	46.901432	本
5	1	1	1	4	4	169	148	16	15	27.850943	题
5	1	1	1	4	5	188	148	25	15	96.639946	涉及
5	1	1	1	4	6	220	148	10	15	96.955765	到
5	1	1	1	4	7	237	148	20	15	96.644829	的
5	1	1	1	4	8	256	139	35	34	96.853020	主要
5	1	1	1	4	9	302	148	35	15	94.450722	知识
5	1	1	1	4	10	322	139	13	34	92.353882	点
5	1	1	1	4	11	334	139	8	34	60.016331	，
4	1	1	1	5	0	82	190	557	19	-1	
5	1	1	1	5	1	82	190	24	15	93.264381	向
5	1	1	1	5	2	114	190	6	14	92.921814	量
5	1	1	1	5	3	122	190	8	14	96.177574	组
5	1	1	1	5	4	141	191	62	18	46.433708	bl,ba,…
5	1	1	1	5	5	212	191	17	18	70.716179	,b
5	1	1	1	5	6	241	192	10	15	96.974419	能
5	1	1	1	5	7	256	192	17	15	95.964920	由
5	1	1	1	5	8	275	192	20	15	87.627144	向
5	1	1	1	5	9	303	192	9	14	93.159103	量
5	1	1	1	5	10	311	183	18	34	96.618118	组
5	1	1	1	5	11	334	194	64	15	0.000000	”al,aa'…
5	1	1	1	5	12	407	183	24	34	78.629639	,an
5	1	1	1	5	13	443	192	28	15	94.953659	线性
5	1	1	1	5	14	477	192	28	15	95.657959	表示
5	1	1	1	5	15	511	192	10	15	96.955902	的
5	1	1	1	5	16	530	192	25	15	96.895607	充分
5	1	1	1	5	17	562	192	27	15	96.788055	必要
5	1	1	1	5	18	594	192	19	15	93.106407	条
5	1	1	1	5	19	613	192	10	15	92.908424	件
5	1	1	1	5	20	630	192	9	15	96.475105	是
4	1	1	1	6	0	85	247	376	19	-1	
5	1	1	1	6	1	85	247	64	19	0.000000	raaz
5	1	1	1	6	2	179	247	32	19	0.000000	Am)
5	1	1	1	6	3	221	247	78	19	18.390198	=r(a,az
5	1	1	1	6	4	331	247	50	18	19.090023	Any,
5	1	1	1	6	5	387	243	37	32	32.036091	by,”
5	1	1	1	6	6	433	247	28	19	24.842358	,)
4	1	1	1	7	0	261	300	67	14	-1	
5	1	1	1	7	1	261	300	67	14	75.540703	404
4	1	1	1	8	0	81	328	539	25	-1	
5	1	1	1	8	1	81	331	14	17	18.166265	(I)
5	1	1	1	8	2	111	330	31	15	71.855797	FAA
5	1	1	1	8	3	150	328	119	25	0.396175	|or,ct,05]
5	1	1	1	8	4	246	324	32	33	89.640869	=|0
5	1	1	1	8	5	292	332	5	14	89.016640	1
5	1	1	1	8	6	321	332	84	15	64.123421	3)=140,
5	1	1	1	8	7	418	332	31	15	7.856493	FLL
5	1	1	1	8	8	460	332	160	19	10.336790	o,,c1,,
5	1	1	1	8	9	520	324	26	33	21.652727	as
5	1	1	1	8	10	545	324	38	33	96.529236	线性
5	1	1	1	8	11	582	324	17	33	93.276192	无
5	1	1	1	8	12	598	324	12	33	89.991348	关
5	1	1	1	8	13	615	324	9	33	56.965946	.
4	1	1	1	9	0	261	365	70	14	-1	
5	1	1	1	9	1	261	365	70	14	71.948776	414
4	1	1	1	10	0	81	412	545	23	-1	
5	1	1	1	10	1	81	415	30	14	91.454330	MA
